"database_name";"table_name";"model_name";"is_active";"execution_frequency";"execution_where_clause";"real_window";"retention_comment"
AP_STG;OCS_VAS_REFUND_COST;AP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '2' DAY) AS TIMESTAMP(0));2;""
AP_STG;SPM_SP_KTT_AP_PRODUCT_H;AP_STG;1;W ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '90' DAY) AS TIMESTAMP(0));90;Zavedeni retenci na _H tabulky dle EP_STG pred prepnutim na AP_STG
EP_LND;M2C_PC_PROD_H;EP_LND;1;D ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0));10;
EP_IND;OCM_A_ACCOUNT_I;EP_IND;1;D ;Load_Dttm < (SELECT MAX(load_dttm) FROM EP_IND.E20_LOAD_RETENTION WHERE ord_data_set = 43 );15;L2i - loading by each load. So, we need 14 days back of data sets, and it is 3(loads per day)x7(days in week)x1(data sets )=> 42+1 => max 15 days back. 
AP_STG;OCS_BALANCE_EXPIRY;AP_STG;1;* ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '70' DAY) AS TIMESTAMP(0));70;Možnost analýzy chybových situací ve zdrojových datech - problém je od business uživatelů zpravidla hlášen na základě měsíčních výsledků
EP_LND;MTTV_SUCCESS_UPG_CUST;EP_LND;1;D ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0));10;INIT: vygenerovano z UDI
EP_LND;SAP_DELIVERY_ITEMS;EP_LND;1;D ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '15' DAY) AS TIMESTAMP(0));15;
EP_LND;M2C_CRM_PARTY;EP_LND;1;D ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0));10;
EP_LND;RMCA_FKKCL;EP_LND;1;D ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0));10;bylo původně 32, ale pro CUT jsme se dohodli s H, Heroutem na zvýčení - po CUT možno vrátit na 32 - měsíční data, aby tam byl poslední měsíc
AP_STG;SPM_SI_KTT_SADA_H;AP_STG;1;W ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '90' DAY) AS TIMESTAMP(0));90;Zavedeni retenci na _H tabulky dle EP_STG pred prepnutim na AP_STG
EP_CDC;ST_BD_ICT_MODELATION_FILE;EP_CDC;1;W ;(TT_END_DTTM < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0)));60;INIT: vygenerovano z Press
EP_STG;NTE_IPTV_LIVE;EP_STG;1;D ;ins_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0));10;
AP_STG;MAMP_CLICK;AP_STG;1;D ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '730' DAY) AS TIMESTAMP(0));730;INIT: vygenerovano z press
EP_LND;PCR_CRM_PAYMENT_METHOD_TYPE;EP_LND;1;D ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '2' DAY) AS TIMESTAMP(0));2;""
