"retention_rule_id";"dataset_name";"table_name";"execution_frequency";"reason";"source_execution_where_clause";"bq_execution_where_clause";"retention_comment"
"TD_EP_CDC_GCTI_INTERACTION_DESCRIPTOR_00486";"EP_CDC";"GCTI_INTERACTION_DESCRIPTOR";"W";"manual_review";"(TT_END_DTTM < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0)))";"(TT_END_DTTM < CAST( (CAST(CAST('@retention_reference_dttm' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('@retention_reference_dttm' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0)))";"plosne zkraceno z 60 na 10 v 2025-07-22"
"TD_EP_CDC_PCR_RI_PACK_00489";"EP_CDC";"PCR_RI_PACK";"W";"manual_review";"(TT_END_DTTM < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0)))";"(TT_END_DTTM < CAST( (CAST(CAST('@retention_reference_dttm' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('@retention_reference_dttm' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0)))";"BIDEV-697: retence dle Lukase (https://confluence.cz.o2/pages/viewpage.action?pageId=95293771)"
"TD_EP_IND_WRK_S_FMS_PARTY_TS_DN01_SF_00492";"EP_IND_WRK";"S_FMS_PARTY_TS_DN01_SF";"D";"manual_review";"Load_Dttm < (SELECT MAX(load_dttm) FROM EP_IND.E20_LOAD_RETENTION WHERE ord_data_set = 2 )";"Load_Dttm < (SELECT MAX(load_dttm) FROM EP_IND.E20_LOAD_RETENTION WHERE ord_data_set = 2 )";"L2i - loading by each load. So, we need 14 days back of data sets, and it is 3(loads per day)x7(days in week)x1(data sets )=> 42+1 => max 15 days back."
"TD_EP_CDC_GCTI_AGT_AGENT_CAMPAIGN_HOUR_00493";"EP_CDC";"GCTI_AGT_AGENT_CAMPAIGN_HOUR";"W";"manual_review";"(TT_END_DTTM < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0)))";"(TT_END_DTTM < CAST( (CAST(CAST('@retention_reference_dttm' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('@retention_reference_dttm' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0)))";"plosne zkraceno z 60 na 10 v 2025-07-22"
"TD_EP_IND_WRK_S_FMS_OCM_CRM_ASSET_SI_00494";"EP_IND_WRK";"S_FMS_OCM_CRM_ASSET_SI";"D";"manual_review";"Load_Dttm < (SELECT MAX(load_dttm) FROM EP_IND.E20_LOAD_RETENTION WHERE ord_data_set = 43 )";"Load_Dttm < (SELECT MAX(load_dttm) FROM EP_IND.E20_LOAD_RETENTION WHERE ord_data_set = 43 )";"L2i - loading by each load. So, we need 14 days back of data sets, and it is 3(loads per day)x7(days in week)x1(data sets )=> 42+1 => max 15 days back."
"TD_EP_CDC_GCTI_AGT_QUEUE_HOUR_00498";"EP_CDC";"GCTI_AGT_QUEUE_HOUR";"W";"manual_review";"(TT_END_DTTM < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0)))";"(TT_END_DTTM < CAST( (CAST(CAST('@retention_reference_dttm' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('@retention_reference_dttm' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0)))";"plosne zkraceno z 60 na 10 v 2025-07-22"
"TD_EP_CDC_GCTI_GPM_RESULT_00499";"EP_CDC";"GCTI_GPM_RESULT";"W";"manual_review";"(TT_END_DTTM < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0)))";"(TT_END_DTTM < CAST( (CAST(CAST('@retention_reference_dttm' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('@retention_reference_dttm' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0)))";"plosne zkraceno z 60 na 10 v 2025-07-22"
"TD_EP_CDC_GCTI_GIDB_GC_GROUP_00500";"EP_CDC";"GCTI_GIDB_GC_GROUP";"W";"manual_review";"(TT_END_DTTM < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0)))";"(TT_END_DTTM < CAST( (CAST(CAST('@retention_reference_dttm' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('@retention_reference_dttm' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0)))";"plosne zkraceno z 60 na 10 v 2025-07-22"
"TD_EP_CDC_GCTI_MEDIA_TYPE_00501";"EP_CDC";"GCTI_MEDIA_TYPE";"W";"manual_review";"(TT_END_DTTM < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0)))";"(TT_END_DTTM < CAST( (CAST(CAST('@retention_reference_dttm' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('@retention_reference_dttm' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0)))";"plosne zkraceno z 60 na 10 v 2025-07-22"
"TD_EP_IND_WRK_S_FMS_OCM_CRM_ASSET_SF_00505";"EP_IND_WRK";"S_FMS_OCM_CRM_ASSET_SF";"D";"manual_review";"Load_Dttm < (SELECT MAX(load_dttm) FROM EP_IND.E20_LOAD_RETENTION WHERE ord_data_set = 2 )";"Load_Dttm < (SELECT MAX(load_dttm) FROM EP_IND.E20_LOAD_RETENTION WHERE ord_data_set = 2 )";"L2i - loading one-times at week, at Sunday. So, we need 2 last data sests, and it is 3(loads per day)x7(days in week)x1(data sets )=> 42 (+1) => max 7 days back. It means, usually, 2 data sets, but sometimes 3 data sets, because somes loads are disabled, tipiccaly at week by backups ."
